Compound	DMSO only	DMSO+Cmpnd LFmax	TMZ only	TMZ+Cmpnd
Tipifarnib 	0.336	0.323	0.38	0.530
Lonafarnib	0.336	0.367	0.38	0.486
Costunolide	0.336	0.268	0.38	0.407
Orlistat 	0.336	0.224	0.38	0.417
Tacrolimus (FK506)	0.336	0.181	0.38	0.326
Temsirolimus (CCI-779, NSC 683864)	0.336	0.049	0.38	0.306
Rapamycin (Sirolimus)	0.336	0.052	0.38	0.280
Everolimus (RAD001)	0.336	0.053	0.38	0.264
Ridaforolimus (Deforolimus, MK-8669)	0.336	0.038	0.38	0.236
Zoledronic Acid 	0.336	0.327	0.38	0.384
XL335	0.336	0.295	0.38	0.429
GW4064	0.336	0.330	0.38	0.681
(+)-Bicuculline	0.336	0.096	0.38	0.365
Ginkgolide A	0.336	0.206	0.38	0.390
Nefiracetam	0.336	0.234	0.38	0.343
Etomidate	0.336	0.314	0.38	0.372
Flumazenil	0.336	0.389	0.38	0.393
Piracetam	0.336	0.361	0.38	0.358
Felbamate	0.336	0.331	0.38	0.322
YO-01027	0.336	0.197	0.38	0.388
LY411575	0.336	0.171	0.38	0.341
DAPT (GSI-IX)	0.336	0.252	0.38	0.327
Semagacestat (LY450139)	0.336	0.271	0.38	0.341
MK-0752	0.336	0.300	0.38	0.323
Avagacestat (BMS-708163)	0.336	0.344	0.38	0.356
Golgicide A	0.336	0.647	0.38	0.832
Brefeldin A 	0.336	0.925	0.38	0.955
Halcinonide	0.336	0.075	0.38	0.350
Desonide	0.336	0.102	0.38	0.353
Deflazacort 	0.336	0.079	0.38	0.330
Beclomethasone dipropionate	0.336	0.066	0.38	0.287
Fluticasone propionate 	0.336	0.097	0.38	0.299
Betamethasone 	0.336	0.079	0.38	0.266
Methylprednisolone	0.336	0.171	0.38	0.313
Fluorometholone Acetate	0.336	0.098	0.38	0.238
Fluocinonide 	0.336	0.098	0.38	0.236
Triamcinolone	0.336	0.123	0.38	0.259
Meprednisone	0.336	0.212	0.38	0.346
Fluocinolone Acetonide	0.336	0.089	0.38	0.209
Budesonide	0.336	0.147	0.38	0.266
Hydrocortisone 	0.336	0.160	0.38	0.278
Flumethasone	0.336	0.086	0.38	0.202
Loteprednol etabonate	0.336	0.093	0.38	0.187
Cortisone acetate 	0.336	0.292	0.38	0.385
Mometasone furoate	0.336	0.077	0.38	0.159
Prednisolone 	0.336	0.248	0.38	0.302
Prednisone 	0.336	0.344	0.38	0.396
Halobetasol Propionate	0.336	0.052	0.38	0.095
Dexamethasone (DHAP)	0.336	0.168	0.38	0.212
Triamcinolone Acetonide	0.336	0.168	0.38	0.201
Clobetasol propionate	0.336	0.059	0.38	0.085
Difluprednate	0.336	0.080	0.38	0.365
LY2608204	0.336	0.234	0.38	0.191
LY404039	0.336	0.149	0.38	0.392
VU 0361737	0.336	0.135	0.38	0.318
VU 0364439	0.336	0.219	0.38	0.373
ADX-47273	0.336	0.245	0.38	0.381
NMDA (N-Methyl-D-aspartic acid)	0.336	0.241	0.38	0.367
Ifenprodil Tartrate	0.336	0.258	0.38	0.365
VU 0364770	0.336	0.292	0.38	0.399
CTEP (RO4956371)	0.336	0.305	0.38	0.402
VU 0357121	0.336	0.277	0.38	0.341
MPEP	0.336	0.330	0.38	0.388
MK-801 (Dizocilpine)	0.336	0.402	0.38	0.380
(-)-MK 801 Maleate	0.336	0.400	0.38	0.356
IEM 1754 dihydrobroMide	0.336	0.247	0.38	0.343
Azathioprine	0.336	0.250	0.38	0.340
Brucine	0.336	0.266	0.38	0.431
CP-91149	0.336	0.224	0.38	0.395
BMS-378806 	0.336	0.109	0.38	0.364
SC144	0.336	0.551	0.38	0.717
GSK1292263	0.336	0.073	0.38	0.300
GW9508	0.336	0.234	0.38	0.367
OC000459	0.336	0.244	0.38	0.361
TAK-875	0.336	0.235	0.38	0.315
AZD1981	0.336	0.287	0.38	0.317
BIO	0.336	0.433	0.38	0.882
AZD2858	0.336	0.581	0.38	0.856
AZD1080	0.336	0.244	0.38	0.516
Tideglusib	0.336	0.242	0.38	0.383
TWS119	0.336	0.240	0.38	0.367
Indirubin	0.336	0.331	0.38	0.447
AR-A014418	0.336	0.387	0.38	0.483
SB415286	0.336	0.311	0.38	0.321
SB216763	0.336	0.392	0.38	0.390
CHIR-99021 (CT99021) HCl	0.336	0.357	0.38	0.737
CHIR-98014	0.336	0.349	0.38	0.672
Omeprazole 	0.336	0.315	0.38	0.424
Esomeprazole Sodium 	0.336	0.288	0.38	0.374
Lansoprazole	0.336	0.330	0.38	0.387
Dexlansoprazole	0.336	0.253	0.38	0.298
VX-222 (VCH-222, Lomibuvir)	0.336	0.314	0.38	0.342
Telaprevir (VX-950)	0.336	0.201	0.38	0.326
Danoprevir (ITMN-191)	0.336	0.313	0.38	0.366
Daclatasvir (BMS-790052)	0.336	0.283	0.38	0.311
RG2833 (RGFP109)	0.336	0.194	0.38	0.998
Belinostat (PXD101)	0.336	0.372	0.38	0.959
Pracinostat (SB939)	0.336	0.681	0.38	0.979
M344	0.336	0.411	0.38	0.807
Entinostat (MS-275)	0.336	0.252	0.38	0.490
CI994 (Tacedinaline)	0.336	0.081	0.38	0.290
AR-42	0.336	0.833	0.38	0.983
Givinostat (ITF2357)	0.336	0.860	0.38	0.999
Sodium Phenylbutyrate	0.336	0.286	0.38	0.405
Droxinostat	0.336	0.263	0.38	0.377
Mocetinostat (MGCD0103)	0.336	0.909	0.38	0.972
MC1568	0.336	0.362	0.38	0.401
Valproic acid sodium salt (Sodium valproate)	0.336	0.327	0.38	0.363
Tubastatin A HCl	0.336	0.324	0.38	0.342
Trichostatin A (TSA)	0.336	0.981	0.38	0.998
LAQ824 (Dacinostat)	0.336	0.986	0.38	0.999
Quisinostat (JNJ-26481585)	0.336	0.995	0.38	1.000
PCI-34051	0.336	0.314	0.38	0.291
Rocilinostat (ACY-1215)	0.336	0.241	0.38	0.588
Scriptaid 	0.336	0.286	0.38	0.692
Vorinostat (SAHA, MK0683)	0.336	0.434	0.38	0.755
RGFP966	0.336	0.064	0.38	0.344
Resminostat	0.336	0.238	0.38	0.544
CUDC-907	0.336	1.000	0.38	1.000
Efaproxiral Sodium	0.336	0.214	0.38	0.389
Lonidamine	0.336	0.229	0.38	0.365
Chlorpheniramine Maleate	0.336	0.229	0.38	0.671
Rupatadine Fumarate	0.336	0.151	0.38	0.386
Famotidine 	0.336	0.111	0.38	0.329
Clemastine Fumarate	0.336	0.130	0.38	0.307
Pheniramine Maleate	0.336	0.194	0.38	0.354
Antazoline HCl	0.336	0.247	0.38	0.388
Brompheniramine hydrogen maleate	0.336	0.249	0.38	0.389
Olopatadine HCl 	0.336	0.234	0.38	0.365
Desloratadine	0.336	0.298	0.38	0.429
Ciproxifan	0.336	0.222	0.38	0.352
Fexofenadine HCl	0.336	0.240	0.38	0.368
Roxatidine Acetate HCl	0.336	0.254	0.38	0.381
Cyclizine 2HCl	0.336	0.287	0.38	0.407
Terfenadine	0.336	0.180	0.38	0.292
Ketotifen Fumarate 	0.336	0.223	0.38	0.334
Doxylamine Succinate	0.336	0.248	0.38	0.358
Dimaprit 2HCl	0.336	0.211	0.38	0.321
Epinastine HCl	0.336	0.270	0.38	0.373
Betahistine 2HCl	0.336	0.299	0.38	0.402
Azelastine HCl	0.336	0.255	0.38	0.354
Ranitidine	0.336	0.284	0.38	0.368
Cyproheptadine HCl 	0.336	0.237	0.38	0.320
Lafutidine	0.336	0.291	0.38	0.372
Azatadine dimaleate	0.336	0.295	0.38	0.371
Loratadine	0.336	0.262	0.38	0.324
Cetirizine DiHCl	0.336	0.312	0.38	0.370
Diphenhydramine HCl 	0.336	0.301	0.38	0.354
Bepotastine Besilate	0.336	0.325	0.38	0.373
Levodropropizine	0.336	0.265	0.38	0.311
JNJ-7777120	0.336	0.321	0.38	0.359
Nizatidine	0.336	0.286	0.38	0.319
Ebastine	0.336	0.198	0.38	0.222
Cimetidine 	0.336	0.301	0.38	0.324
Lidocaine	0.336	0.332	0.38	0.349
Tripelennamine HCl	0.336	0.363	0.38	0.370
Histamine 2HCl	0.336	0.334	0.38	0.332
Hydroxyzine 2HCl	0.336	0.381	0.38	0.359
Meclizine 2HCl	0.336	0.428	0.38	0.336
Mianserin HCl	0.336	0.239	0.38	0.338
Mirtazapine	0.336	0.282	0.38	0.345
Raltegravir (MK-0518)	0.336	0.143	0.38	0.408
Dolutegravir (GSK1349572)	0.336	0.140	0.38	0.394
Elvitegravir (GS-9137, JTK-303)	0.336	0.114	0.38	0.321
MK-2048	0.336	0.274	0.38	0.361
BMS-707035	0.336	0.354	0.38	0.344
Amprenavir 	0.336	0.228	0.38	0.392
Atazanavir Sulfate	0.336	0.279	0.38	0.415
Darunavir Ethanolate	0.336	0.271	0.38	0.380
Lopinavir	0.336	0.206	0.38	0.288
Clinofibrate	0.336	0.248	0.38	0.359
Lovastatin	0.336	0.222	0.38	0.304
Atorvastatin Calcium 	0.336	0.249	0.38	0.306
Nifenazone	0.336	0.300	0.38	0.344
Simvastatin 	0.336	0.343	0.38	0.373
Pravastatin sodium	0.336	0.346	0.38	0.351
Mevastatin	0.336	0.304	0.38	0.308
Fluvastatin Sodium	0.336	0.537	0.38	0.379
Pitavastatin Calcium 	0.336	0.551	0.38	0.306
Rosuvastatin Calcium	0.336	0.593	0.38	0.305
Mercaptopurine (6-MP)	0.336	0.280	0.38	0.348
Trilostane	0.336	0.356	0.38	0.378
SNX-2112 (PF-04928473)	0.336	0.765	0.38	0.882
XL888	0.336	0.693	0.38	0.800
PF-04929113 (SNX-5422)	0.336	0.718	0.38	0.819
AT13387	0.336	0.738	0.38	0.829
AUY922 (NVP-AUY922)	0.336	0.743	0.38	0.808
BIIB021	0.336	0.734	0.38	0.793
KW-2478	0.336	0.631	0.38	0.686
17-AAG (Tanespimycin)	0.336	0.770	0.38	0.815
17-DMAG (Alvespimycin) HCl	0.336	0.740	0.38	0.777
Ganetespib (STA-9090)	0.336	0.767	0.38	0.804
Geldanamycin	0.336	0.304	0.38	0.583
GDC-0152	0.336	0.300	0.38	0.511
Embelin	0.336	0.284	0.38	0.313
Birinapant	0.336	0.429	0.38	0.451
AGI-5198	0.336	0.210	0.38	0.356
NLG919	0.336	0.254	0.38	0.359
Diacerein	0.336	0.339	0.38	0.353
Moxonidine	0.336	0.333	0.38	0.386
Mycophenolate Mofetil	0.336	0.134	0.38	0.376
Mizoribine 	0.336	0.339	0.38	0.359
Mycophenolic acid	0.336	0.060	0.38	0.403
Cilengitide	0.336	0.230	0.38	0.407
4mu8C	0.336	0.467	0.38	0.513
Dexrazoxane HCl (ICRF-187, ADR-529)	0.336	0.411	0.38	0.352
IKK-16 (IKK Inhibitor VII)	0.336	0.139	0.38	0.972
IMD 0354	0.336	0.322	0.38	0.703
Bardoxolone Methyl	0.336	0.785	0.38	1.000
SC-514	0.336	0.189	0.38	0.341
TPCA-1	0.336	0.113	0.38	0.210
BMS-345541	0.336	0.277	0.38	0.696
BAY 11-7082	0.336	0.255	0.38	0.467
TG101348 (SAR302503)	0.336	0.271	0.38	0.982
XL019	0.336	0.238	0.38	0.490
AZ 960	0.336	0.514	0.38	0.759
WP1066	0.336	0.231	0.38	0.475
LY2784544	0.336	0.695	0.38	0.886
ZM 39923 HCl	0.336	0.199	0.38	0.344
Pacritinib (SB1518)	0.336	0.957	0.38	0.935
Tofacitinib (CP-690550,Tasocitinib)	0.336	0.421	0.38	0.376
Tofacitinib (CP-690550) Citrate	0.336	0.393	0.38	0.345
S-Ruxolitinib (INCB018424)	0.336	0.407	0.38	0.352
Ruxolitinib (INCB018424)	0.336	0.481	0.38	0.351
CEP-33779	0.336	0.213	0.38	0.584
CYT387	0.336	0.261	0.38	0.624
NVP-BSK805 2HCl	0.336	0.100	0.38	0.502
AT9283	0.336	0.777	0.38	0.966
TG101209	0.336	0.636	0.38	0.980
GSK J4 HCl	0.336	0.195	0.38	0.376
JIB-04	0.336	0.203	0.38	0.370
SP600125	0.336	0.997	0.38	0.995
Ispinesib (SB-715992)	0.336	0.541	0.38	0.710
SB743921	0.336	0.596	0.38	0.703
Montelukast Sodium	0.336	0.188	0.38	0.411
Pranlukast	0.336	0.267	0.38	0.331
Zafirlukast 	0.336	0.423	0.38	0.375
GW3965 HCl	0.336	0.123	0.38	0.322
T0901317	0.336	0.104	0.38	0.209
Zileuton	0.336	0.263	0.38	0.463
Baicalin	0.336	0.259	0.38	0.404
Ki16425	0.336	0.292	0.38	0.400
Ki16198	0.336	0.305	0.38	0.335
JZL184	0.336	0.165	0.38	0.317
Nialamide	0.336	0.209	0.38	0.345
Moclobemide (Ro 111163)	0.336	0.235	0.38	0.354
Rasagiline Mesylate	0.336	0.329	0.38	0.400
Safinamide Mesylate	0.336	0.311	0.38	0.345
Nutlin-3	0.336	0.293	0.38	0.421
JNJ-26854165 (Serdemetan)	0.336	0.432	0.38	0.757
Pimasertib (AS-703026)	0.336	0.161	0.38	0.885
BIX 02189	0.336	0.083	0.38	0.509
Trametinib (GSK1120212)	0.336	0.193	0.38	0.636
PD0325901	0.336	0.324	0.38	0.553
BIX 02188	0.336	0.238	0.38	0.435
PD318088	0.336	0.228	0.38	0.344
MEK162 (ARRY-162, ARRY-438162)	0.336	0.198	0.38	0.294
PD98059	0.336	0.311	0.38	0.406
U0126-EtOH	0.336	0.308	0.38	0.375
SL-327	0.336	0.298	0.38	0.317
Selumetinib (AZD6244)	0.336	0.262	0.38	0.280
PD184352 (CI-1040)	0.336	0.266	0.38	0.184
TAK-733	0.336	0.235	0.38	0.614
AZD8330	0.336	0.170	0.38	0.541
UNC2250	0.336	0.258	0.38	0.740
Deferasirox	0.336	0.309	0.38	0.451
Ciclopirox	0.336	0.638	0.38	0.645
Ciclopirox ethanolamine	0.336	0.664	0.38	0.665
Griseofulvin	0.336	0.175	0.38	0.387
ABT-751 (E7010)	0.336	0.551	0.38	0.729
Vinblastine	0.336	0.643	0.38	0.787
Epothilone B (EPO906, Patupilone)	0.336	0.753	0.38	0.865
Epothilone A	0.336	0.762	0.38	0.871
Vincristine	0.336	0.654	0.38	0.761
Docetaxel	0.336	0.792	0.38	0.867
Paclitaxel	0.336	0.809	0.38	0.880
Cabazitaxel	0.336	0.816	0.38	0.871
Nocodazole	0.336	0.768	0.38	0.805
Vinflunine Tartrate	0.336	0.731	0.38	0.765
Methacycline HCl	0.336	0.143	0.38	0.354
Thiamphenicol	0.336	0.190	0.38	0.375
Clindamycin	0.336	0.188	0.38	0.342
Clindamycin palmitate HCl	0.336	0.172	0.38	0.310
Oxytetracycline (Terramycin)	0.336	0.221	0.38	0.356
Doxycycline HCl	0.336	0.233	0.38	0.363
Tetracycline HCl	0.336	0.237	0.38	0.335
Clindamycin HCl 	0.336	0.276	0.38	0.344
Tigecycline	0.336	0.301	0.38	0.365
Linezolid	0.336	0.296	0.38	0.335
Erythromycin	0.336	0.377	0.38	0.404
Chloramphenicol	0.336	0.305	0.38	0.330
Doxycycline Hyclate	0.336	0.326	0.38	0.323
MM-102	0.336	0.278	0.38	0.356
Ilomastat (GM6001, Galardin)	0.336	0.264	0.38	0.325
NSC 405020	0.336	0.261	0.38	0.294
Batimastat (BB-94)	0.336	0.168	0.38	0.464
Bindarit 	0.336	0.260	0.38	0.364
Ramelteon	0.336	0.346	0.38	0.355
WAY-600	0.336	0.193	0.38	0.782
KU-0063794	0.336	0.061	0.38	0.649
OSI-027	0.336	0.099	0.38	0.372
GDC-0349	0.336	0.113	0.38	0.377
WYE-125132 (WYE-132)	0.336	0.401	0.38	0.638
Palomid 529 (P529)	0.336	0.216	0.38	0.439
Torin 1	0.336	0.701	0.38	0.920
PP242	0.336	0.060	0.38	0.268
INK 128 (MLN0128)	0.336	0.509	0.38	0.666
XL388	0.336	0.082	0.38	0.220
AZD8055	0.336	0.192	0.38	0.304
WYE-354	0.336	0.114	0.38	0.199
Torin 2	0.336	0.894	0.38	0.956
AZD2014	0.336	0.228	0.38	0.191
ETP-46464	0.336	0.161	0.38	0.405
10058-F4	0.336	0.228	0.38	0.325
Sodium Nitrite	0.336	0.232	0.38	0.309
Omecamtiv mecarbil (CK-1827452)	0.336	0.231	0.38	0.422
(-)-Blebbistatin	0.336	0.191	0.38	0.383
STF-118804	0.336	0.989	0.38	0.998
JSH-23	0.336	0.223	0.38	0.338
ML130 (Nodinitib-1)	0.336	0.299	0.38	0.434
Apocynin	0.336	0.159	0.38	0.418
Ezetimibe 	0.336	0.239	0.38	0.378
Potassium Canrenoate	0.336	0.219	0.38	0.308
Nilotinib (AMN-107)	0.336	0.313	0.38	0.434
GNF-2	0.336	0.220	0.38	0.319
Imatinib Mesylate (STI571)	0.336	0.312	0.38	0.585
Imatinib (STI571)	0.336	0.235	0.38	0.473
Ponatinib (AP24534)	0.336	0.840	0.38	0.954
Dasatinib	0.336	0.770	0.38	0.913
DCC-2036 (Rebastinib)	0.336	0.391	0.38	0.879
Saracatinib (AZD0530)	0.336	0.102	0.38	0.841
AVL-292	0.336	0.106	0.38	0.338
CNX-774	0.336	0.203	0.38	0.300
Ibrutinib (PCI-32765)	0.336	0.234	0.38	0.331
R406	0.336	0.326	0.38	0.780
GZD824	0.336	0.680	0.38	0.995
PP2	0.336	0.443	0.38	0.803
PP1	0.336	0.192	0.38	0.638
Bosutinib (SKI-606)	0.336	0.142	0.38	0.501
R406 (free base)	0.336	0.543	0.38	0.863
PRT062607 (P505-15, BIIB057) HCl	0.336	0.094	0.38	0.553
Piceatannol	0.336	0.093	0.38	0.398
KX2-391	0.336	0.727	0.38	0.768
Fostamatinib (R788)	0.336	0.890	0.38	0.985
WZ4003	0.336	0.285	0.38	0.359
Busulfan 	0.336	0.300	0.38	0.425
Oxaliplatin	0.336	0.293	0.38	0.361
Lomustine 	0.336	0.336	0.38	0.395
Cyclophosphamide	0.336	0.328	0.38	0.386
Cisplatin	0.336	0.327	0.38	0.338
Carboplatin	0.336	0.378	0.38	0.367
Ifosfamide	0.336	0.389	0.38	0.296
Pyrimethamine	0.336	0.220	0.38	0.412
Pralatrexate 	0.336	0.765	0.38	0.788
Methotrexate	0.336	0.819	0.38	0.837
Teriflunomide	0.336	0.175	0.38	0.286
Leflunomide	0.336	0.325	0.38	0.347
Hydroxyurea	0.336	0.189	0.38	0.416
Clofarabine	0.336	0.818	0.38	0.760
Fludarabine Phosphate	0.336	0.418	0.38	0.352
Carmofur	0.336	0.176	0.38	0.356
Fluorouracil (5-Fluoracil, 5-FU)	0.336	0.217	0.38	0.391
Floxuridine	0.336	0.714	0.38	0.739
Capecitabine 	0.336	0.354	0.38	0.354
FT-207 (NSC 148958)	0.336	0.378	0.38	0.333
Raltitrexed	0.336	0.854	0.38	0.789
Thiamet G 	0.336	0.138	0.38	0.329
OAC1	0.336	0.183	0.38	0.302
Meptazinol HCl	0.336	0.109	0.38	0.356
Naltrexone HCl	0.336	0.306	0.38	0.393
Naloxone HCl	0.336	0.314	0.38	0.371
Noscapine HCl	0.336	0.273	0.38	0.321
Racecadotril 	0.336	0.323	0.38	0.359
ADL5859 HCl	0.336	0.358	0.38	0.319
JTC-801	0.336	0.706	0.38	0.477
Loperamide HCl	0.336	0.183	0.38	0.294
Probenecid 	0.336	0.296	0.38	0.388
Cetrimonium Bromide (CTAB)	0.336	0.075	0.38	0.782
Thonzonium Bromide	0.336	0.428	0.38	0.968
Cetylpyridinium Chloride	0.336	0.396	0.38	0.847
Cytidine	0.336	0.114	0.38	0.369
Uracil	0.336	0.273	0.38	0.351
Adenine HCl	0.336	0.305	0.38	0.352
Uridine	0.336	0.317	0.38	0.340
Altretamine	0.336	0.407	0.38	0.428
Moxifloxacin HCl	0.336	0.326	0.38	0.816
Tazarotene 	0.336	0.322	0.38	0.678
Isotretinoin	0.336	0.321	0.38	0.605
Andrographolide	0.336	0.245	0.38	0.521
Valnemulin HCl	0.336	0.087	0.38	0.362
Mequinol	0.336	0.301	0.38	0.575
Famciclovir 	0.336	0.090	0.38	0.362
Sulfadiazine	0.336	0.167	0.38	0.436
Osthole	0.336	0.253	0.38	0.517
Acesulfame Potassium	0.336	0.108	0.38	0.370
Sparfloxacin	0.336	0.104	0.38	0.365
Aloe-emodin	0.336	0.203	0.38	0.462
Butein	0.336	0.208	0.38	0.463
Sodium Danshensu	0.336	0.181	0.38	0.433
Bephenium Hydroxynaphthoate	0.336	0.078	0.38	0.327
Betulinic acid	0.336	0.142	0.38	0.386
Sesamin	0.336	0.106	0.38	0.350
Benfotiamine	0.336	0.172	0.38	0.416
Clofazimine	0.336	0.125	0.38	0.366
Toltrazuril	0.336	0.186	0.38	0.427
Ribitol	0.336	0.307	0.38	0.544
Cinoxacin	0.336	0.183	0.38	0.419
Clorsulon	0.336	0.180	0.38	0.416
10-Deacetylbaccatin-III	0.336	0.257	0.38	0.492
Monobenzone	0.336	0.326	0.38	0.560
Atovaquone	0.336	0.130	0.38	0.362
Phenindione	0.336	0.234	0.38	0.462
Tetrahydropapaverine HCl	0.336	0.218	0.38	0.443
Diminazene Aceturate	0.336	0.110	0.38	0.334
Pyrazinamide	0.336	0.091	0.38	0.315
Hesperetin	0.336	0.182	0.38	0.404
Dibenzothiophene	0.336	0.126	0.38	0.348
Trimethoprim	0.336	0.134	0.38	0.355
Acitretin	0.336	0.405	0.38	0.625
Cloxacillin Sodium	0.336	0.161	0.38	0.382
Broxyquinoline	0.336	0.300	0.38	0.520
Alibendol	0.336	0.146	0.38	0.363
Oxymatrine	0.336	0.145	0.38	0.362
Nitrofural	0.336	0.116	0.38	0.331
Salicin	0.336	0.168	0.38	0.382
Methoxsalen	0.336	0.194	0.38	0.407
Nanchangmycin	0.336	0.273	0.38	0.485
Troxerutin	0.336	0.191	0.38	0.402
Gastrodin	0.336	0.216	0.38	0.426
Rutaecarpine	0.336	0.199	0.38	0.408
Pridinol Methanesulfonate	0.336	0.200	0.38	0.408
Myricitrin	0.336	0.211	0.38	0.419
Sulphadimethoxine	0.336	0.138	0.38	0.345
Xylose	0.336	0.145	0.38	0.351
Sodium Nitroprusside	0.336	0.186	0.38	0.385
Aciclovir	0.336	0.121	0.38	0.319
Dextrose	0.336	0.221	0.38	0.418
Salicylanilide	0.336	0.193	0.38	0.390
Oleanolic Acid	0.336	0.134	0.38	0.330
Tebipenem Pivoxil	0.336	0.117	0.38	0.313
Florfenicol	0.336	0.087	0.38	0.281
Berberine HCl	0.336	0.184	0.38	0.378
Fidaxomicin	0.336	0.181	0.38	0.374
Retapamulin	0.336	0.117	0.38	0.310
Tiratricol	0.336	0.214	0.38	0.405
Sucralose	0.336	0.221	0.38	0.411
Oseltamivir phosphate 	0.336	0.174	0.38	0.359
Moguisteine	0.336	0.199	0.38	0.383
Moxalactam Disodium	0.336	0.176	0.38	0.358
L-(+)-Rhamnose Monohydrate	0.336	0.202	0.38	0.383
Acipimox	0.336	0.129	0.38	0.310
Rutin	0.336	0.132	0.38	0.312
Ceftiofur HCl	0.336	0.215	0.38	0.395
Dyphylline	0.336	0.157	0.38	0.336
Nitazoxanide	0.336	0.149	0.38	0.326
Pidotimod	0.336	0.233	0.38	0.409
Ergosterol	0.336	0.230	0.38	0.405
Chloroxine	0.336	0.298	0.38	0.472
Sodium ascorbate	0.336	0.227	0.38	0.400
Bemegride	0.336	0.179	0.38	0.351
Quinine HCl Dihydrate	0.336	0.247	0.38	0.419
5-Aminolevulinic acid HCl	0.336	0.222	0.38	0.392
Carbenicillin disodium	0.336	0.223	0.38	0.392
Bergenin	0.336	0.179	0.38	0.347
Nicotinic Acid	0.336	0.159	0.38	0.327
Cyromazine	0.336	0.197	0.38	0.365
Theobromine	0.336	0.166	0.38	0.330
Polydatin	0.336	0.225	0.38	0.388
Chenodeoxycholic Acid	0.336	0.206	0.38	0.368
Aminothiazole	0.336	0.181	0.38	0.342
Methylhydantoin-5-(D)	0.336	0.151	0.38	0.312
Secnidazole 	0.336	0.192	0.38	0.349
Suplatast Tosylate	0.336	0.203	0.38	0.360
Aztreonam	0.336	0.181	0.38	0.335
Tinidazole	0.336	0.185	0.38	0.338
Diperodon HCl	0.336	0.162	0.38	0.315
Cephalexin	0.336	0.221	0.38	0.373
Rimantadine 	0.336	0.186	0.38	0.339
Azlocillin sodium salt	0.336	0.217	0.38	0.369
Choline Chloride	0.336	0.197	0.38	0.348
Closantel Sodium	0.336	0.205	0.38	0.356
Silymarin	0.336	0.192	0.38	0.343
Rheochrysidin	0.336	0.160	0.38	0.311
Amidopyrine	0.336	0.199	0.38	0.349
Ampicillin sodium	0.336	0.233	0.38	0.383
Enoxacin 	0.336	0.226	0.38	0.375
Piperacillin Sodium	0.336	0.208	0.38	0.357
Biotin (Vitamin B7)	0.336	0.267	0.38	0.414
Bisacodyl	0.336	0.177	0.38	0.324
Marbofloxacin	0.336	0.282	0.38	0.428
Rifaximin	0.336	0.219	0.38	0.365
Allylthiourea	0.336	0.183	0.38	0.327
Clevudine 	0.336	0.231	0.38	0.375
Dicloxacillin Sodium	0.336	0.212	0.38	0.356
Tiopronin 	0.336	0.216	0.38	0.359
Sulfamerazine	0.336	0.207	0.38	0.349
(+)-Usniacin	0.336	0.285	0.38	0.427
Cyclamic  acid	0.336	0.248	0.38	0.390
Artemether	0.336	0.161	0.38	0.302
Pramiracetam	0.336	0.193	0.38	0.333
Oxethazaine	0.336	0.182	0.38	0.321
Adenosine	0.336	0.204	0.38	0.344
Elesclomol (STA-4783)	0.336	0.221	0.38	0.360
Schisandrin B (Sch B)	0.336	0.190	0.38	0.328
Chlorzoxazone	0.336	0.316	0.38	0.453
Trometamol	0.336	0.212	0.38	0.349
N6-methyladenosine (m6A)	0.336	0.242	0.38	0.376
4-Aminohippuric Acid	0.336	0.271	0.38	0.405
Coumarin	0.336	0.197	0.38	0.331
Chrysophanic Acid	0.336	0.170	0.38	0.304
Magnolol	0.336	0.237	0.38	0.370
Thiabendazole	0.336	0.329	0.38	0.461
Carbadox	0.336	0.234	0.38	0.365
Moroxydine HCl	0.336	0.180	0.38	0.312
Vitamin C	0.336	0.280	0.38	0.411
Ganciclovir	0.336	0.231	0.38	0.361
Valaciclovir HCl	0.336	0.223	0.38	0.353
Isosorbide	0.336	0.215	0.38	0.344
Valganciclovir HCl	0.336	0.218	0.38	0.346
Evodiamine	0.336	0.703	0.38	0.832
Albendazole	0.336	0.703	0.38	0.828
Tangeretin	0.336	0.233	0.38	0.359
Protionamide	0.336	0.216	0.38	0.342
D-Pantothenic acid	0.336	0.246	0.38	0.371
Difloxacin HCl	0.336	0.160	0.38	0.284
Pefloxacin Mesylate	0.336	0.254	0.38	0.378
Mepiroxol	0.336	0.189	0.38	0.313
Sulbactam sodium 	0.336	0.274	0.38	0.398
Sulfacetamide Sodium	0.336	0.206	0.38	0.330
Domiphen Bromide	0.336	0.081	0.38	0.205
Betamipron	0.336	0.203	0.38	0.327
Ticarcillin sodium	0.336	0.253	0.38	0.376
Erythritol	0.336	0.228	0.38	0.351
Spiramycin	0.336	0.196	0.38	0.318
Sulfanilamide	0.336	0.264	0.38	0.384
Limonin	0.336	0.296	0.38	0.417
Artesunate	0.336	0.166	0.38	0.286
Tylosin tartrate	0.336	0.254	0.38	0.374
Antipyrine	0.336	0.236	0.38	0.355
Avobenzone	0.336	0.298	0.38	0.417
1-Hexadecanol	0.336	0.231	0.38	0.350
Ethambutol HCl	0.336	0.259	0.38	0.377
Ferulic Acid	0.336	0.217	0.38	0.336
Piromidic Acid	0.336	0.239	0.38	0.357
Dihydroartemisinin (DHA)	0.336	0.259	0.38	0.377
Bergapten	0.336	0.197	0.38	0.314
Pyridoxine HCl 	0.336	0.252	0.38	0.368
Esculin	0.336	0.318	0.38	0.432
Zanamivir	0.336	0.264	0.38	0.377
L-carnitine 	0.336	0.250	0.38	0.363
